,_id,count
0,91,14
1,175,47
2,31,81
3,122,124
4,23,116
5,20,147
6,25,100
7,58,35
8,15,167
9,158,15
10,136,39
11,196,259
12,142,37
13,197,125
14,38,134
15,206,302
16,18,181
17,40,142
18,153,336
19,44,333
20,96,349
21,82,115
22,60,168
23,171,134
24,39,82
25,120,185
26,114,60
27,30,712
28,110,322
29,180,242
30,137,177
31,17,120
32,49,431
33,135,103
34,107,365
35,185,753
36,189,360
37,69,163
38,12,330
39,190,318
40,72,306
41,52,761
42,64,529
43,77,466
44,57,253
45,124,285
46,89,440
47,152,867
48,78,242
49,37,221
50,29,608
51,74,191
52,0,1659
53,129,401
54,181,527
55,169,547
56,143,664
57,188,445
58,86,290
59,148,957
60,9,313
61,132,215
62,187,979
63,8,542
64,85,24
65,34,333
66,139,477
67,106,182
68,126,224
69,150,232
70,112,305
71,41,459
72,184,580
73,94,1378
74,11,367
75,33,2158
76,88,393
77,75,412
78,61,552
79,172,249
80,209,528
81,193,782
82,105,160
83,93,416
84,179,410
85,45,240
86,121,996
87,48,875
88,130,1723
89,177,821
90,156,249
91,154,209
92,59,248
93,81,1756
94,46,164
95,146,275
96,90,119
97,155,123
98,3,732
99,66,360
100,97,446
101,151,12
102,79,721
103,149,1074
104,27,165
105,26,538
106,7,1769
107,67,96
108,92,233
109,55,771
110,80,902
111,102,37
112,199,101
113,203,631
114,183,1088
115,99,314
116,13,126
117,170,165
118,160,309
119,198,305
120,192,404
121,84,476
122,208,73
123,42,1640
124,186,490
125,202,221
126,141,918
127,6,1511
128,164,467
129,201,195
130,174,175
131,113,766
132,207,341
133,19,3617
134,32,542
135,68,234
136,161,436
137,108,594
138,63,822
139,103,1018
140,195,1572
141,53,498
142,166,584
143,118,925
144,165,345
145,50,1130
146,98,333
147,71,339
148,133,247
149,119,501
150,127,415
151,204,1697
152,176,1128
153,24,48
154,111,1452
155,10,447
156,173,241
157,145,660
158,56,41
159,109,1397
160,70,403
161,162,1426
162,76,270
163,5,1474
164,191,462
165,2,430
166,116,1148
167,140,2211
168,22,319
169,167,1584
170,21,1489
171,83,428
172,147,1582
173,205,396
174,131,241
175,101,361
176,65,576
177,134,167
178,157,380
179,35,1698
180,144,333
181,125,74
182,51,1572
183,200,342
184,95,297
185,138,3155
186,163,611
187,16,489
188,4,657
189,47,1773
190,168,988
191,159,466
192,178,1124
193,1,718
194,43,2209
195,115,1242
196,73,758
197,128,456
198,36,1563
199,194,841
200,28,261
201,123,111
202,117,673
203,14,319
204,62,474
205,182,1046
206,104,233
207,100,635
208,87,281
