,_id,count
0,11,5
1,120,2
2,175,1
3,44,33
4,15,3
5,122,3
6,50,22
7,71,6
8,116,4
9,72,3
10,34,1
11,177,12
12,13,1
13,173,9
14,9,6
15,180,6
16,185,23
17,8,8
18,179,3
19,45,1
20,124,8
21,115,9
22,43,38
23,129,17
24,19,197
25,21,44
26,143,21
27,139,11
28,47,248
29,168,14
30,193,75
31,182,18
32,14,6
33,62,13
34,165,9
35,104,3
36,100,4
37,22,1
38,167,89
39,5,117
40,6,27
41,209,57
42,3,42
43,16,2
44,163,47
45,4,18
46,31,294
47,30,57
48,67,7
49,7,101
50,1,59
51,33,172
52,166,55
53,118,50
54,73,93
55,12,6
56,69,11
57,207,51
58,113,1
59,201,3
60,111,13
61,128,18
62,36,5
63,194,30
64,109,34
65,153,10
66,152,31
67,32,63
68,68,14
69,181,3
70,169,60
71,117,10
72,23,4
73,93,69
74,55,61
75,80,76
76,74,6
77,191,12
78,2,47
79,149,44
80,196,5
81,172,2
82,61,14
83,178,12
84,159,9
85,190,8
86,148,42
87,184,6
88,94,67
89,103,7
90,63,1
91,171,3
92,133,14
93,187,32
94,132,10
95,150,12
96,126,5
97,107,8
98,189,51
99,59,42
100,156,23
101,154,7
102,64,57
103,52,36
104,77,3
105,70,13
106,162,191
107,17,1
108,49,14
109,60,4
110,82,6
111,192,15
112,84,39
113,46,4
114,146,20
115,161,5
116,108,37
117,147,61
118,205,23
119,83,12
120,29,11
121,53,21
122,142,1
123,197,5
124,88,2
125,75,2
126,57,5
127,26,7
128,27,1
129,203,7
130,199,1
131,102,1
132,91,5
133,105,14
134,183,44
135,99,17
136,110,71
137,81,117
138,89,10
139,200,1
140,51,31
141,160,24
142,170,11
143,96,42
144,140,23
145,101,22
146,131,5
147,157,16
148,134,1
149,35,50
150,65,15
151,125,2
152,144,1
153,145,35
154,195,73
155,37,1
156,186,7
157,42,165
158,208,7
159,18,13
160,206,7
161,40,1
162,204,40
163,119,19
164,127,14
165,176,16
166,24,1
167,137,3
168,66,1
169,97,3
170,79,3
171,92,7
172,106,6
173,95,48
174,138,16
175,121,64
176,130,134
177,48,95
178,86,5
179,188,1
180,136,2
181,164,21
182,135,2
